Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currencyDawn's Reflection,5DN,Fifth Dawn,85,normal,common,1,29410,131a124f-f11e-4ea1-a7b2-b94eea988d4e,0.32,false,false,near_mint,en,USDDryad Sophisticate,GPT,Guildpact,83,normal,uncommon,1,27512,0b5bf5ce-f7f8-47cb-abb8-f14ce5f1af67,0.25,false,false,near_mint,en,USDRavenous Rats,8ED,Eighth Edition,158,normal,common,1,30378,0ee0ece8-2598-40d4-a222-27e3b34c01a1,0.28,false,false,near_mint,en,USDSolidarity of Heroes,C16,Commander 2016,168,normal,uncommon,1,7186,feb6f7a5-976d-4d55-be3e-b4210d383c6e,1.13,false,false,near_mint,en,USDFeral Shadow,POR,Portal,93d,normal,common,1,37331,200365f5-05a1-461e-904e-daf99f4b92bb,,false,false,near_mint,en,USDHoly Day,10E,Tenth Edition,21,normal,common,1,26121,f3895c0c-0db8-4962-b386-57887fb60701,0.47,false,false,near_mint,en,USDFog Bank,USG,Urza's Saga,75,normal,uncommon,1,35893,6ade0d30-5a57-439e-95e8-5f865880031f,0.58,false,false,near_mint,en,USDTerror,10E,Tenth Edition,182,normal,common,1,25902,3d1ccc3b-a6bd-4dc8-b7ba-99172d612106,0.25,false,false,near_mint,en,USDHired Giant,MMQ,Mercadian Masques,194,normal,uncommon,1,34216,dc33920a-f05c-46fa-b94b-278af0022b78,0.33,false,false,near_mint,en,USDViashino Heretic,ULG,Urza's Legacy,95,normal,uncommon,1,35425,143e435e-e3a1-45b0-81c3-bd47916df8ac,1.14,false,false,near_mint,en,USDTwisted Abomination,TSB,Time Spiral Timeshifted,50,normal,special,1,26971,64e63700-1521-49fa-9756-02342a11e200,0.33,false,false,near_mint,en,USDRebuff the Wicked,PLC,Planar Chaos,12,normal,uncommon,1,26522,fa47fcce-d4c4-40a2-8853-6d7569d50926,4.81,false,false,near_mint,en,USDHarmonize,PLC,Planar Chaos,149,normal,uncommon,1,26385,4b90dbd0-4672-4c0b-92eb-262ddd11cd32,0.4,false,false,near_mint,en,USDSearch for Tomorrow,TSP,Time Spiral,216,normal,common,1,26684,56f739e8-b4ba-426a-a159-0e0d5a0ebb6f,0.25,false,false,near_mint,en,USD